model,bench,method,variant,seeds,seed_count,n_per_seed,expected_n,full_split,technical_conflict_tags,max_technical_replicate_range,invalid_tags,score_mean,score_std,no_ctx_mean,feasible_raw_mean,delta_vs_feasible_raw
glm4_9b,bfcl_live_multiple,ours,default,"[42, 44]",2,[316],316,True,[],0.0,[],0.7294303797468354,0.0067130390618976386,0.012658227848101266,0.8481012658227848,-0.11867088607594933
glm4_9b,quality,ours,default,"[42, 44]",2,[1595],1595,True,[],0.0,[],0.5106583072100314,0.04477604068955569,0.1993730407523511,0.09843260188087774,0.4122257053291536
ministral_8b,bfcl_live_multiple,ours,default,"[42, 44]",2,[316],316,True,[],0.0,[],0.7199367088607596,0.0067130390618975605,0.012658227848101266,0.870253164556962,-0.15031645569620244
ministral_8b,quality,ours,default,"[42, 44]",2,[1595],1595,True,[],0.0,[],0.33793103448275863,0.0,0.20501567398119122,0.09153605015673981,0.2463949843260188
q35_4b,bfcl_live_multiple,ours,default,"[42, 43, 44]",3,[316],316,True,[],0.0,[],0.7151898734177214,0.01674526146243408,0.0031645569620253164,0.11075949367088607,0.6044303797468353
q35_4b,quality,ours,default,"[42, 43, 44]",3,[1595],1595,True,[],0.0,[],0.39143155694879833,0.05331120173136495,0.18683385579937303,0.06833855799373041,0.32309299895506793
q35_9b,bfcl_live_multiple,ours,default,"[42, 43, 44]",3,[316],316,True,[],0.0,[],0.7141350210970465,0.019335762425974002,0.012658227848101266,0.8449367088607594,-0.13080168776371293
q35_9b,quality,ours,default,"[42, 43, 44]",3,[1595],1595,True,[],0.0,[],0.4631138975966562,0.11449575944703029,0.22006269592476488,0.07084639498432602,0.39226750261233023
q3_8b,bfcl_live_multiple,ours,default,"[42, 43, 44]",3,[316],316,True,[],0.0,[],0.7120253164556961,0.011409972390708826,0.012658227848101266,0.9208860759493671,-0.208860759493671
q3_8b,quality,ours,default,"[42, 43, 44]",3,[1595],1595,True,[],0.0,[],0.4417972831765935,0.11163807086603972,0.17805642633228844,0.07210031347962383,0.3696969696969697
