RECIPE_EVAL c_block_narrativeqa_r0.5 {'method': 0.15707900445548795, 'kvpress': 'block', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_block_numerical_niah_r0.5 {'method': 0.75, 'kvpress': 'block', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_block_quality_hard_r0.5 {'method': 0.1875, 'kvpress': 'block', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_block_ruler8k_r0.1 {'method': 0.9791666666666666, 'kvpress': 'block', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL c_block_ruler8k_r0.25 {'method': 0.9791666666666666, 'kvpress': 'block', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL c_block_ruler8k_r0.5 {'method': 0.8125, 'kvpress': 'block', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_block_ruler8k_r0.75 {'method': 0.1875, 'kvpress': 'block', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL c_block_ruler8k_r0.9 {'method': 0.0, 'kvpress': 'block', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL c_compactor_narrativeqa_r0.5 {'method': 0.14664031291865062, 'kvpress': 'compactor', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_compactor_numerical_niah_r0.5 {'method': 0.75, 'kvpress': 'compactor', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_compactor_quality_hard_r0.5 {'method': 0.14583333333333334, 'kvpress': 'compactor', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_compactor_ruler8k_r0.1 {'method': 0.9791666666666666, 'kvpress': 'compactor', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL c_compactor_ruler8k_r0.25 {'method': 0.9375, 'kvpress': 'compactor', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL c_compactor_ruler8k_r0.5 {'method': 0.9583333333333334, 'kvpress': 'compactor', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_compactor_ruler8k_r0.75 {'method': 0.6875, 'kvpress': 'compactor', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL c_compactor_ruler8k_r0.9 {'method': 0.020833333333333332, 'kvpress': 'compactor', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL c_criticalkv_narrativeqa_r0.5 {'method': 0.13781689372044809, 'kvpress': 'criticalkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_criticalkv_numerical_niah_r0.5 {'method': 0.75, 'kvpress': 'criticalkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_criticalkv_quality_hard_r0.5 {'method': 0.125, 'kvpress': 'criticalkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_criticalkv_ruler8k_r0.1 {'method': 0.9791666666666666, 'kvpress': 'criticalkv', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL c_criticalkv_ruler8k_r0.25 {'method': 0.9791666666666666, 'kvpress': 'criticalkv', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL c_criticalkv_ruler8k_r0.5 {'method': 0.9791666666666666, 'kvpress': 'criticalkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_criticalkv_ruler8k_r0.75 {'method': 0.5625, 'kvpress': 'criticalkv', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL c_criticalkv_ruler8k_r0.9 {'method': 0.0625, 'kvpress': 'criticalkv', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL c_cur_narrativeqa_r0.5 {'method': 0.13303207469213488, 'kvpress': 'cur', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_cur_numerical_niah_r0.5 {'method': 0.7291666666666666, 'kvpress': 'cur', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_cur_quality_hard_r0.5 {'method': 0.14583333333333334, 'kvpress': 'cur', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_cur_ruler8k_r0.1 {'method': 0.9791666666666666, 'kvpress': 'cur', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL c_cur_ruler8k_r0.25 {'method': 0.9791666666666666, 'kvpress': 'cur', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL c_cur_ruler8k_r0.5 {'method': 0.9791666666666666, 'kvpress': 'cur', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_cur_ruler8k_r0.75 {'method': 0.125, 'kvpress': 'cur', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL c_cur_ruler8k_r0.9 {'method': 0.0, 'kvpress': 'cur', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL c_expected_narrativeqa_r0.5 {'method': 0.13601047377989814, 'kvpress': 'expected', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_expected_numerical_niah_r0.5 {'method': 0.7291666666666666, 'kvpress': 'expected', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_expected_quality_hard_r0.5 {'method': 0.14583333333333334, 'kvpress': 'expected', 'compression_ratio': 0.5, 'mode': 'kvpress'}
