RECIPE_EVAL s10_adakv_confirm {'method': 0.0, 'kvpress': 'adakv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s10_critadakv_confirm {'method': 0.0, 'kvpress': 'critadakv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s10_duo_confirm {'method': 0.0, 'kvpress': 'duo', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s10_finch_confirm {'method': 0.0, 'kvpress': 'finch', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s10_kvzap_confirm {'method': 0.0, 'kvpress': 'kvzap', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s10_pyramid_confirm {'error':'press pyramid unavailable'}
RECIPE_EVAL s10_qfilter_confirm {'method': 0.0, 'kvpress': 'qfilter', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s10_simlayer_ruler_niah {'method': 0.9791666666666666, 'kvpress': 'simlayer', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s10_simlayer_squad_v2 {'method': 0.7141737638228097, 'kvpress': 'simlayer', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s10_think_ruler_niah {'method': 0.9791666666666666, 'kvpress': 'think', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s10_think_squad_v2 {'method': 0.699545615075691, 'kvpress': 'think', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s1_expected_nc22_r0.25 {'method': 0.8958333333333334, 'kvpress': 'expected', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s1_expected_nc22_r0.5 {'method': 0.3333333333333333, 'kvpress': 'expected', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s1_expected_nc22_r0.75 {'method': 0.041666666666666664, 'kvpress': 'expected', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s1_expected_nc44_r0.25 {'method': 0.9791666666666666, 'kvpress': 'expected', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s1_expected_nc44_r0.5 {'method': 0.3958333333333333, 'kvpress': 'expected', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s1_expected_nc44_r0.75 {'method': 0.0, 'kvpress': 'expected', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s1_expected_nc88_r0.25 {'method': 0.22916666666666666, 'kvpress': 'expected', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s1_expected_nc88_r0.5 {'method': 0.0625, 'kvpress': 'expected', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s1_expected_nc88_r0.75 {'method': 0.0, 'kvpress': 'expected', 'compression_ratio': 0.75, 'mode': 'kvpress'}
