RECIPE_EVAL da_criticalkv_hotpot_qa_nc8_r0.9 {'method': 0.347213955026455, 'kvpress': 'criticalkv', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL da_criticalkv_hotpot_qa_nc8_r0.95 {'method': 0.07222222222222223, 'kvpress': 'criticalkv', 'compression_ratio': 0.95, 'mode': 'kvpress'}
RECIPE_EVAL da_criticalkv_hotpot_qa_nc8_r0.99 {'method': 0.0, 'kvpress': 'criticalkv', 'compression_ratio': 0.99, 'mode': 'kvpress'}
RECIPE_EVAL da_criticalkv_narrativeqa_nc8_r0.9 {'method': 0.1476988287620607, 'kvpress': 'criticalkv', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL da_criticalkv_narrativeqa_nc8_r0.95 {'method': 0.11166498827579278, 'kvpress': 'criticalkv', 'compression_ratio': 0.95, 'mode': 'kvpress'}
RECIPE_EVAL da_criticalkv_narrativeqa_nc8_r0.99 {'method': 0.07728936743896177, 'kvpress': 'criticalkv', 'compression_ratio': 0.99, 'mode': 'kvpress'}
RECIPE_EVAL da_criticalkv_numerical_niah_nc44_r0.9 {'method': 0.0625, 'kvpress': 'criticalkv', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL da_criticalkv_numerical_niah_nc44_r0.95 {'method': 0.041666666666666664, 'kvpress': 'criticalkv', 'compression_ratio': 0.95, 'mode': 'kvpress'}
RECIPE_EVAL da_criticalkv_numerical_niah_nc44_r0.99 {'method': 0.0, 'kvpress': 'criticalkv', 'compression_ratio': 0.99, 'mode': 'kvpress'}
RECIPE_EVAL da_criticalkv_ruler_niah_nc44_r0.9 {'method': 0.0625, 'kvpress': 'criticalkv', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL da_criticalkv_ruler_niah_nc44_r0.95 {'method': 0.020833333333333332, 'kvpress': 'criticalkv', 'compression_ratio': 0.95, 'mode': 'kvpress'}
RECIPE_EVAL da_criticalkv_ruler_niah_nc44_r0.99 {'method': 0.0, 'kvpress': 'criticalkv', 'compression_ratio': 0.99, 'mode': 'kvpress'}
