RECIPE_EVAL x1_14b_full_quality {'no_ctx': 0.28125, 'full': 0.0625, 'method': 0.0625, 'mode': 'txl'}
RECIPE_EVAL x1_14b_knorm_ruler {'method': 0.2708333333333333, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_14b_knorm_squad {'method': 0.08723151477728136, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_14b_kvzip_nc44 {'method': 0.9791666666666666, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_14b_kvzip_nc88 {'method': 1.0, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_14b_snapkv_nc44 {'method': 0.5, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_14b_snapkv_nc88 {'method': 0.0, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_14b_snapkv_r0.25 {'method': 0.75, 'kvpress': 'snapkv', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL x1_14b_snapkv_r0.5 {'method': 0.5, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_14b_snapkv_r0.75 {'method': 0.14583333333333334, 'kvpress': 'snapkv', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL x1_1p7b_full_quality {'no_ctx': 0.234375, 'full': 0.203125, 'method': 0.203125, 'mode': 'txl'}
RECIPE_EVAL x1_1p7b_knorm_ruler {'method': 0.0, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_1p7b_knorm_squad {'method': 0.07879681843497634, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_1p7b_kvzip_nc44 {'method': 0.9791666666666666, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_1p7b_kvzip_nc88 {'method': 0.9583333333333334, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_1p7b_snapkv_nc44 {'method': 0.375, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_1p7b_snapkv_nc88 {'method': 0.2708333333333333, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_1p7b_snapkv_r0.25 {'method': 0.6458333333333334, 'kvpress': 'snapkv', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL x1_1p7b_snapkv_r0.5 {'method': 0.375, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_1p7b_snapkv_r0.75 {'method': 0.08333333333333333, 'kvpress': 'snapkv', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL x1_4b_full_quality {'no_ctx': 0.21875, 'full': 0.109375, 'method': 0.109375, 'mode': 'txl'}
RECIPE_EVAL x1_4b_knorm_ruler {'method': 0.1875, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_4b_knorm_squad {'method': 0.01240079365079365, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_4b_kvzip_nc44 {'method': 0.9791666666666666, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_4b_kvzip_nc88 {'method': 1.0, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_4b_snapkv_nc44 {'method': 0.5, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_4b_snapkv_nc88 {'method': 0.4166666666666667, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_4b_snapkv_r0.25 {'method': 0.75, 'kvpress': 'snapkv', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL x1_4b_snapkv_r0.5 {'method': 0.5, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_4b_snapkv_r0.75 {'method': 0.14583333333333334, 'kvpress': 'snapkv', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL x1_8b_full_quality {'no_ctx': 0.203125, 'full': 0.0625, 'method': 0.0625, 'mode': 'txl'}
RECIPE_EVAL x1_8b_knorm_ruler {'method': 0.8125, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_8b_knorm_squad {'method': 0.10811838624338625, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_8b_kvzip_nc44 {'method': 0.9791666666666666, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_8b_kvzip_nc88 {'method': 1.0, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_8b_snapkv_nc44 {'method': 0.5208333333333334, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_8b_snapkv_nc88 {'method': 0.16666666666666666, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_8b_snapkv_r0.25 {'method': 0.8125, 'kvpress': 'snapkv', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL x1_8b_snapkv_r0.5 {'method': 0.5208333333333334, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x1_8b_snapkv_r0.75 {'method': 0.1875, 'kvpress': 'snapkv', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL x2_q25_full_quality {'no_ctx': 0.234375, 'full': 0.140625, 'method': 0.140625, 'mode': 'txl'}
RECIPE_EVAL x2_q25_knorm_ruler {'method': 0.0, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x2_q25_knorm_squad {'method': 0.130489417989418, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x2_q25_kvzip_nc44 {'method': 0.9791666666666666, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x2_q25_kvzip_nc88 {'method': 1.0, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x2_q25_snapkv_nc44 {'method': 0.08333333333333333, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL x2_q25_snapkv_nc88 {'method': 0.0625, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
