RECIPE_EVAL nc_full_categorical_niah_nc11 {'no_ctx': 0.25, 'full': 0.734375, 'method': 0.734375, 'mode': 'txl'}
RECIPE_EVAL nc_full_categorical_niah_nc176 {'no_ctx': 0.234375, 'full': 0.484375, 'method': 0.484375, 'mode': 'txl'}
RECIPE_EVAL nc_full_categorical_niah_nc22 {'no_ctx': 0.234375, 'full': 0.484375, 'method': 0.484375, 'mode': 'txl'}
RECIPE_EVAL nc_full_categorical_niah_nc44 {'no_ctx': 0.265625, 'full': 0.578125, 'method': 0.578125, 'mode': 'txl'}
RECIPE_EVAL nc_full_categorical_niah_nc88 {'no_ctx': 0.09375, 'full': 0.78125, 'method': 0.78125, 'mode': 'txl'}
RECIPE_EVAL nc_full_numerical_niah_nc11 {'no_ctx': 0.0, 'full': 0.640625, 'method': 0.640625, 'mode': 'txl'}
RECIPE_EVAL nc_full_numerical_niah_nc22 {'no_ctx': 0.0, 'full': 0.640625, 'method': 0.640625, 'mode': 'txl'}
RECIPE_EVAL nc_full_numerical_niah_nc44 {'no_ctx': 0.0, 'full': 0.53125, 'method': 0.53125, 'mode': 'txl'}
RECIPE_EVAL nc_full_numerical_niah_nc88 {'no_ctx': 0.0, 'full': 0.65625, 'method': 0.65625, 'mode': 'txl'}
RECIPE_EVAL nc_full_ruler_niah_nc11 {'no_ctx': 0.0, 'full': 0.859375, 'method': 0.859375, 'mode': 'txl'}
RECIPE_EVAL nc_full_ruler_niah_nc22 {'no_ctx': 0.0, 'full': 0.953125, 'method': 0.953125, 'mode': 'txl'}
RECIPE_EVAL nc_full_ruler_niah_nc44 {'no_ctx': 0.0, 'full': 0.84375, 'method': 0.84375, 'mode': 'txl'}
RECIPE_EVAL nc_full_ruler_niah_nc88 {'no_ctx': 0.0, 'full': 0.984375, 'method': 0.984375, 'mode': 'txl'}
RECIPE_EVAL nc_kv_knorm_categorical_niah_nc22 {'method': 0.578125, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL nc_kv_knorm_categorical_niah_nc44 {'method': 0.640625, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL nc_kv_knorm_categorical_niah_nc88 {'method': 0.6875, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL nc_kv_knorm_numerical_niah_nc22 {'method': 0.8125, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL nc_kv_knorm_numerical_niah_nc44 {'method': 0.75, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL nc_kv_knorm_numerical_niah_nc88 {'method': 0.84375, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL nc_kv_snapkv_categorical_niah_nc22 {'method': 0.8125, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL nc_kv_snapkv_categorical_niah_nc44 {'method': 0.765625, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL nc_kv_snapkv_categorical_niah_nc88 {'method': 0.0, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL nc_kv_snapkv_numerical_niah_nc22 {'method': 0.609375, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL nc_kv_snapkv_numerical_niah_nc44 {'method': 0.640625, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL nc_kv_snapkv_numerical_niah_nc88 {'method': 0.0, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL nc_kv_streaming_categorical_niah_nc22 {'method': 0.53125, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL nc_kv_streaming_categorical_niah_nc44 {'method': 0.65625, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL nc_kv_streaming_categorical_niah_nc88 {'method': 0.5, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL nc_kv_streaming_numerical_niah_nc22 {'method': 0.390625, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL nc_kv_streaming_numerical_niah_nc44 {'method': 0.3125, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL nc_kv_streaming_numerical_niah_nc88 {'method': 0.453125, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL nc_ll_categorical_niah_nc11 {'no_ctx': 0.25, 'full': 0.734375, 'method': 0.515625, 'mode': 'llmlingua'}
RECIPE_EVAL nc_ll_categorical_niah_nc176 {'no_ctx': 0.234375, 'full': 0.484375, 'method': 0.453125, 'mode': 'llmlingua'}
RECIPE_EVAL nc_ll_categorical_niah_nc22 {'no_ctx': 0.234375, 'full': 0.484375, 'method': 0.453125, 'mode': 'llmlingua'}
RECIPE_EVAL nc_ll_categorical_niah_nc44 {'no_ctx': 0.265625, 'full': 0.578125, 'method': 0.5625, 'mode': 'llmlingua'}
RECIPE_EVAL nc_ll_categorical_niah_nc88 {'no_ctx': 0.09375, 'full': 0.78125, 'method': 0.5, 'mode': 'llmlingua'}
RECIPE_EVAL nc_ll_numerical_niah_nc11 {'no_ctx': 0.0, 'full': 0.640625, 'method': 0.703125, 'mode': 'llmlingua'}
RECIPE_EVAL nc_ll_numerical_niah_nc22 {'no_ctx': 0.0, 'full': 0.640625, 'method': 0.765625, 'mode': 'llmlingua'}
RECIPE_EVAL nc_ll_numerical_niah_nc44 {'no_ctx': 0.0, 'full': 0.53125, 'method': 0.71875, 'mode': 'llmlingua'}
RECIPE_EVAL nc_ll_numerical_niah_nc88 {'no_ctx': 0.0, 'full': 0.65625, 'method': 0.703125, 'mode': 'llmlingua'}
