RECIPE_EVAL pw_expected_r0.25_nc77 {'method': 0.9375, 'kvpress': 'expected', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL pw_expected_r0.25_nc88 {'method': 0.22916666666666666, 'kvpress': 'expected', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL pw_expected_r0.5_nc77 {'method': 0.25, 'kvpress': 'expected', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL pw_expected_r0.5_nc88 {'method': 0.0625, 'kvpress': 'expected', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL pw_fastkvzip_nc220 {'method': 1.0, 'kvpress': 'fastkvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL pw_h2o_r0.5_nc88 {'method': 0.041666666666666664, 'kvpress': 'h2o', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL pw_knorm_nc220 {'method': 0.5416666666666666, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL pw_kvzip_categorical_niah_r0.9 {'method': 0.8958333333333334, 'kvpress': 'kvzip', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL pw_kvzip_multi_needle_niah_r0.9 {'method': 0.0, 'kvpress': 'kvzip', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL pw_kvzip_nc220 {'method': 1.0, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL pw_kvzip_numerical_niah_r0.86 {'method': 0.75, 'kvpress': 'kvzip', 'compression_ratio': 0.86, 'mode': 'kvpress'}
RECIPE_EVAL pw_kvzip_numerical_niah_r0.9 {'method': 0.75, 'kvpress': 'kvzip', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL pw_kvzip_numerical_niah_r0.92 {'method': 0.75, 'kvpress': 'kvzip', 'compression_ratio': 0.92, 'mode': 'kvpress'}
RECIPE_EVAL pw_kvzip_numerical_niah_r0.95 {'method': 0.75, 'kvpress': 'kvzip', 'compression_ratio': 0.95, 'mode': 'kvpress'}
RECIPE_EVAL pw_kvzip_rca_ndis0 {'method': 0.8125, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL pw_kvzip_rca_ndis4 {'method': 0.8333333333333334, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL pw_kvzip_rca_ndis8 {'method': 0.8541666666666666, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL pw_kvzip_ruler_niah_r0.86 {'method': 0.9791666666666666, 'kvpress': 'kvzip', 'compression_ratio': 0.86, 'mode': 'kvpress'}
RECIPE_EVAL pw_kvzip_ruler_niah_r0.9 {'method': 0.8333333333333334, 'kvpress': 'kvzip', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL pw_kvzip_ruler_niah_r0.92 {'method': 0.5208333333333334, 'kvpress': 'kvzip', 'compression_ratio': 0.92, 'mode': 'kvpress'}
RECIPE_EVAL pw_kvzip_ruler_niah_r0.95 {'method': 0.08333333333333333, 'kvpress': 'kvzip', 'compression_ratio': 0.95, 'mode': 'kvpress'}
RECIPE_EVAL pw_snapkv_r0.25_nc77 {'method': 0.875, 'kvpress': 'snapkv', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL pw_snapkv_r0.25_nc88 {'method': 0.22916666666666666, 'kvpress': 'snapkv', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL pw_snapkv_r0.5_nc77 {'method': 0.625, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL pw_snapkv_r0.5_nc88 {'method': 0.16666666666666666, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL pw_snapkv_rca_ndis0 {'method': 0.5625, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL pw_snapkv_rca_ndis4 {'method': 0.5833333333333334, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL pw_snapkv_rca_ndis8 {'method': 0.5833333333333334, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL pw_streaming_nc220 {'method': 0.4583333333333333, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL pw_tova_r0.5_nc88 {'method': 0.041666666666666664, 'kvpress': 'tova', 'compression_ratio': 0.5, 'mode': 'kvpress'}
