RECIPE_EVAL rag_categorical_niah_nc11_b2048 {'no_ctx': 0.3125, 'full': 0.75, 'method': 0.5208333333333334, 'mode': 'rag'}
RECIPE_EVAL rag_categorical_niah_nc22_b2048 {'no_ctx': 0.16666666666666666, 'full': 0.6458333333333334, 'method': 0.7291666666666666, 'mode': 'rag'}
RECIPE_EVAL rag_categorical_niah_nc44_b2048 {'no_ctx': 0.22916666666666666, 'full': 0.5208333333333334, 'method': 0.7916666666666666, 'mode': 'rag'}
RECIPE_EVAL rag_categorical_niah_nc88_b2048 {'no_ctx': 0.16666666666666666, 'full': 0.75, 'method': 0.8125, 'mode': 'rag'}
RECIPE_EVAL rag_hotpot_qa_b2048 {'no_ctx': 0.27288073827707976, 'full': 0.6082592108327403, 'method': 0.589851923675453, 'mode': 'rag'}
RECIPE_EVAL rag_narrativeqa_b2048 {'no_ctx': 0.10021872563359052, 'full': 0.15783860571474084, 'method': 0.11299529047866685, 'mode': 'rag'}
RECIPE_EVAL rag_numerical_niah_nc11_b2048 {'no_ctx': 0.0, 'full': 0.6041666666666666, 'method': 0.75, 'mode': 'rag'}
RECIPE_EVAL rag_numerical_niah_nc22_b2048 {'no_ctx': 0.0, 'full': 0.6666666666666666, 'method': 0.7708333333333334, 'mode': 'rag'}
RECIPE_EVAL rag_numerical_niah_nc88_bud1024 {'no_ctx': 0.0, 'full': 0.7708333333333334, 'method': 0.875, 'mode': 'rag'}
RECIPE_EVAL rag_numerical_niah_nc88_bud4096 {'no_ctx': 0.0, 'full': 0.7708333333333334, 'method': 0.8958333333333334, 'mode': 'rag'}
RECIPE_EVAL rag_ruler_niah_nc11_b2048 {'no_ctx': 0.0, 'full': 0.875, 'method': 0.7708333333333334, 'mode': 'rag'}
RECIPE_EVAL rag_ruler_niah_nc22_b2048 {'no_ctx': 0.0, 'full': 0.9375, 'method': 0.9791666666666666, 'mode': 'rag'}
RECIPE_EVAL rag_ruler_niah_nc44_b2048 {'no_ctx': 0.0, 'full': 0.9375, 'method': 0.8541666666666666, 'mode': 'rag'}
RECIPE_EVAL rag_ruler_niah_nc88_b2048 {'no_ctx': 0.0, 'full': 1.0, 'method': 0.9375, 'mode': 'rag'}
RECIPE_EVAL rag_ruler_niah_nc88_bud1024 {'no_ctx': 0.0, 'full': 1.0, 'method': 0.9375, 'mode': 'rag'}
RECIPE_EVAL rag_ruler_niah_nc88_bud512 {'no_ctx': 0.0, 'full': 1.0, 'method': 0.8958333333333334, 'mode': 'rag'}
RECIPE_EVAL rag_squad_v2_b2048 {'no_ctx': 0.1869490182274869, 'full': 0.7198337368299135, 'method': 0.7472841249545579, 'mode': 'rag'}
RECIPE_EVAL rag_trivia_qa_b2048 {'no_ctx': 0.5554758898508899, 'full': 0.7192046957671958, 'method': 0.7359165888577653, 'mode': 'rag'}
