signal,angle,hotpot_qa,musr_mm,quality,ruler_niah,trivia_qa
conf_0,confidence,0.7233,0.4980,0.4595,,0.7159
conf_w,confidence,0.6388,0.4969,0.4517,,0.6371
delta_last,geometry,0.5339,0.4953,0.5107,,0.5112
delta_max,geometry,0.5535,0.4974,0.4948,,0.5473
delta_mean,geometry,0.5322,0.4965,0.4998,,0.5346
delta_trend,geometry,0.5242,0.5147,0.5343,,0.5080
drift_l::early,geometry,0.5839,0.4915,0.5028,,0.5213
drift_l::late,geometry,0.3649,0.4909,0.5085,,0.3024
drift_l::max,geometry,0.4922,0.4852,0.4760,,0.3815
drift_l::mean,geometry,0.4552,0.4884,0.5024,,0.3828
drift_l::mid,geometry,0.4111,0.4923,0.5083,,0.3821
drift_l::min,geometry,0.5000,0.5000,0.5000,,0.5000
drift_l::slope,geometry,0.3397,0.5087,0.5059,,0.3346
drift_l@0,geometry,0.5000,0.5000,0.5000,,0.5000
drift_l@1,geometry,0.6117,0.4901,0.4954,,0.5818
drift_l@10,geometry,0.5638,0.4883,0.4988,,0.4930
drift_l@11,geometry,0.5004,0.4888,0.4958,,0.4714
drift_l@12,geometry,0.4671,0.4895,0.5033,,0.4408
drift_l@13,geometry,0.4527,0.4896,0.5046,,0.4293
drift_l@14,geometry,0.4428,0.4898,0.5039,,0.4273
drift_l@15,geometry,0.4399,0.4936,0.5036,,0.4162
drift_l@16,geometry,0.4195,0.4956,0.5063,,0.4020
drift_l@17,geometry,0.4127,0.4949,0.5065,,0.3907
drift_l@18,geometry,0.4047,0.4930,0.5061,,0.3919
drift_l@19,geometry,0.3993,0.4921,0.5087,,0.3878
drift_l@2,geometry,0.6236,0.4859,0.4910,,0.5734
drift_l@20,geometry,0.3972,0.4925,0.5099,,0.3792
drift_l@21,geometry,0.4109,0.4928,0.5118,,0.3674
drift_l@22,geometry,0.3972,0.4945,0.5109,,0.3625
drift_l@23,geometry,0.3996,0.4948,0.5108,,0.3551
drift_l@24,geometry,0.3901,0.4955,0.5095,,0.3396
drift_l@25,geometry,0.3850,0.4956,0.5106,,0.3333
drift_l@26,geometry,0.3925,0.4947,0.5137,,0.3263
drift_l@27,geometry,0.3914,0.4946,0.5139,,0.3175
drift_l@28,geometry,0.3859,0.4944,0.5139,,0.3091
drift_l@29,geometry,0.3763,0.4940,0.5145,,0.3056
drift_l@3,geometry,0.6081,0.4874,0.4930,,0.5664
drift_l@30,geometry,0.3704,0.4948,0.5152,,0.3088
drift_l@31,geometry,0.3542,0.4937,0.5101,,0.3059
drift_l@32,geometry,0.3437,0.4942,0.5081,,0.3034
drift_l@33,geometry,0.3507,0.4896,0.5063,,0.3116
drift_l@34,geometry,0.3491,0.4880,0.5034,,0.3149
drift_l@35,geometry,0.3682,0.4831,0.4848,,0.3494
drift_l@36,geometry,0.4340,0.4837,0.4816,,0.3366
drift_l@4,geometry,0.6094,0.4913,0.4914,,0.5710
drift_l@5,geometry,0.5979,0.4906,0.5030,,0.5555
drift_l@6,geometry,0.6004,0.4905,0.5000,,0.5477
drift_l@7,geometry,0.6017,0.4901,0.4983,,0.5432
drift_l@8,geometry,0.5868,0.4902,0.5047,,0.5175
drift_l@9,geometry,0.5712,0.4905,0.5018,,0.4996
drift_mem,geometry,0.5292,0.4895,0.4952,,0.5336
entropy_0,confidence,0.2400,0.5041,0.5408,,0.2422
entropy_w,confidence,0.2846,0.5105,0.5462,,0.2943
first_tok_agree,agreement,0.5626,0.4993,0.4900,,0.5840
js_w0,divergence,0.3219,0.4930,0.5114,,0.3009
kl_0w,divergence,0.3237,0.4936,0.5058,,0.2833
kl_w0,divergence,0.3348,0.4926,0.5162,,0.3213
ll_argmax_agree_final_l::early,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l::late,agreement,0.5285,0.5014,0.4740,,0.4196
ll_argmax_agree_final_l::max,agreement,0.5268,0.4983,0.4775,,0.4868
ll_argmax_agree_final_l::mean,agreement,0.5142,0.5014,0.4740,,0.4102
ll_argmax_agree_final_l::mid,agreement,0.4571,0.5000,0.5000,,0.4590
ll_argmax_agree_final_l::min,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l::slope,agreement,0.5285,0.5014,0.4740,,0.4196
ll_argmax_agree_final_l@0,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@1,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@10,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@11,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@12,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@13,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@14,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@15,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@16,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@17,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@18,agreement,0.5035,0.5000,0.5000,,0.5013
ll_argmax_agree_final_l@19,agreement,0.5000,0.5000,0.5000,,0.5020
ll_argmax_agree_final_l@2,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@20,agreement,0.5035,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@21,agreement,0.5026,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@22,agreement,0.5017,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@23,agreement,0.4648,0.5000,0.5000,,0.4689
ll_argmax_agree_final_l@24,agreement,0.4758,0.5000,0.5000,,0.4698
ll_argmax_agree_final_l@25,agreement,0.4975,0.5000,0.5024,,0.4597
ll_argmax_agree_final_l@26,agreement,0.4818,0.5000,0.5000,,0.4558
ll_argmax_agree_final_l@27,agreement,0.4746,0.5000,0.4998,,0.4271
ll_argmax_agree_final_l@28,agreement,0.4629,0.5000,0.4981,,0.4167
ll_argmax_agree_final_l@29,agreement,0.4733,0.5051,0.4997,,0.4327
ll_argmax_agree_final_l@3,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@30,agreement,0.5005,0.5000,0.4889,,0.4679
ll_argmax_agree_final_l@31,agreement,0.5266,0.5000,0.4938,,0.4729
ll_argmax_agree_final_l@32,agreement,0.5231,0.5019,0.4906,,0.4717
ll_argmax_agree_final_l@33,agreement,0.5326,0.5020,0.4989,,0.4682
ll_argmax_agree_final_l@34,agreement,0.5457,0.5015,0.4642,,0.5020
ll_argmax_agree_final_l@35,agreement,0.5399,0.4942,0.4754,,0.5225
ll_argmax_agree_final_l@36,agreement,0.4906,0.5000,0.5141,,0.4449
ll_argmax_agree_final_l@4,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@5,agreement,0.5000,0.5000,0.5000,,0.5000
