signal,angle,hotpot_qa,musr_mm,quality,ruler_niah,trivia_qa
conf_0,confidence,0.3208,0.0183,-0.0707,,0.3765
conf_w,confidence,0.1541,0.0099,-0.1096,,0.2526
delta_last,geometry,-0.0191,0.0109,-0.0045,,0.0149
delta_max,geometry,-0.0035,0.0154,-0.0341,,0.0649
delta_mean,geometry,-0.0267,0.0126,-0.0134,,0.0498
delta_trend,geometry,-0.0149,0.0437,0.0317,,0.0123
drift_l::early,geometry,0.0268,-0.0147,-0.0323,,0.0495
drift_l::late,geometry,-0.1285,-0.0201,0.0541,,-0.2590
drift_l::max,geometry,-0.0167,-0.0243,-0.0569,,-0.1463
drift_l::mean,geometry,-0.0662,-0.0224,0.0096,,-0.1357
drift_l::mid,geometry,-0.0604,-0.0217,0.0315,,-0.1166
drift_l::min,geometry,,,,,
drift_l::slope,geometry,-0.0964,0.0085,0.0769,,-0.2318
drift_l@0,geometry,,,,,
drift_l@1,geometry,0.0151,-0.0088,-0.0694,,0.0981
drift_l@10,geometry,0.0155,-0.0167,-0.0253,,0.0248
drift_l@11,geometry,0.0037,-0.0234,-0.0016,,-0.0013
drift_l@12,geometry,-0.0254,-0.0241,0.0150,,-0.0397
drift_l@13,geometry,-0.0377,-0.0245,0.0277,,-0.0554
drift_l@14,geometry,-0.0410,-0.0253,0.0240,,-0.0560
drift_l@15,geometry,-0.0490,-0.0204,0.0222,,-0.0667
drift_l@16,geometry,-0.0625,-0.0200,0.0223,,-0.0878
drift_l@17,geometry,-0.0712,-0.0189,0.0254,,-0.1050
drift_l@18,geometry,-0.0625,-0.0207,0.0325,,-0.1015
drift_l@19,geometry,-0.0664,-0.0209,0.0361,,-0.1044
drift_l@2,geometry,0.0273,-0.0100,-0.0719,,0.0911
drift_l@20,geometry,-0.0542,-0.0242,0.0413,,-0.1164
drift_l@21,geometry,-0.0474,-0.0209,0.0454,,-0.1348
drift_l@22,geometry,-0.0591,-0.0202,0.0532,,-0.1420
drift_l@23,geometry,-0.0638,-0.0162,0.0415,,-0.1586
drift_l@24,geometry,-0.0740,-0.0157,0.0356,,-0.1870
drift_l@25,geometry,-0.0913,-0.0140,0.0422,,-0.2063
drift_l@26,geometry,-0.0926,-0.0149,0.0406,,-0.2192
drift_l@27,geometry,-0.0940,-0.0141,0.0579,,-0.2322
drift_l@28,geometry,-0.0993,-0.0142,0.0635,,-0.2463
drift_l@29,geometry,-0.1146,-0.0152,0.0693,,-0.2496
drift_l@3,geometry,0.0219,-0.0082,-0.0733,,0.0904
drift_l@30,geometry,-0.1271,-0.0147,0.0691,,-0.2523
drift_l@31,geometry,-0.1399,-0.0184,0.0651,,-0.2552
drift_l@32,geometry,-0.1591,-0.0185,0.0688,,-0.2632
drift_l@33,geometry,-0.1556,-0.0242,0.0594,,-0.2497
drift_l@34,geometry,-0.1616,-0.0255,0.0465,,-0.2521
drift_l@35,geometry,-0.1468,-0.0322,-0.0160,,-0.2090
drift_l@36,geometry,-0.0481,-0.0192,-0.0351,,-0.2168
drift_l@4,geometry,0.0235,-0.0058,-0.0793,,0.0976
drift_l@5,geometry,0.0218,-0.0111,-0.0381,,0.0844
drift_l@6,geometry,0.0176,-0.0080,-0.0545,,0.0746
drift_l@7,geometry,0.0234,-0.0100,-0.0559,,0.0711
drift_l@8,geometry,0.0322,-0.0182,-0.0161,,0.0454
drift_l@9,geometry,0.0221,-0.0178,-0.0198,,0.0248
drift_mem,geometry,-0.0260,-0.0008,-0.0138,,0.0525
entropy_0,confidence,-0.3736,-0.0183,0.0596,,-0.4622
entropy_w,confidence,-0.2546,0.0054,0.1083,,-0.3616
first_tok_agree,agreement,0.0867,-0.0019,-0.0298,,0.1479
js_w0,divergence,-0.1835,-0.0124,0.0914,,-0.3128
kl_0w,divergence,-0.2019,-0.0122,0.0833,,-0.3395
kl_w0,divergence,-0.1450,-0.0155,0.1017,,-0.2805
ll_argmax_agree_final_l::early,agreement,,,,,
ll_argmax_agree_final_l::late,agreement,0.0689,-0.0001,-0.0734,,-0.0744
ll_argmax_agree_final_l::max,agreement,0.0716,-0.0141,-0.0702,,0.0177
ll_argmax_agree_final_l::mean,agreement,0.0646,-0.0001,-0.0734,,-0.0832
ll_argmax_agree_final_l::mid,agreement,0.0116,,,,-0.0694
ll_argmax_agree_final_l::min,agreement,,,,,
ll_argmax_agree_final_l::slope,agreement,0.0689,-0.0001,-0.0734,,-0.0744
ll_argmax_agree_final_l@0,agreement,,,,,
ll_argmax_agree_final_l@1,agreement,,,,,
ll_argmax_agree_final_l@10,agreement,,,,,
ll_argmax_agree_final_l@11,agreement,,,,,
ll_argmax_agree_final_l@12,agreement,,,,,
ll_argmax_agree_final_l@13,agreement,,,,,
ll_argmax_agree_final_l@14,agreement,,,,,
ll_argmax_agree_final_l@15,agreement,,,,,
ll_argmax_agree_final_l@16,agreement,,,,,
ll_argmax_agree_final_l@17,agreement,,,,,
ll_argmax_agree_final_l@18,agreement,0.0473,,,,0.0262
ll_argmax_agree_final_l@19,agreement,,,,,0.0130
ll_argmax_agree_final_l@2,agreement,,,,,
ll_argmax_agree_final_l@20,agreement,0.0535,,,,
ll_argmax_agree_final_l@21,agreement,0.1195,,,,
ll_argmax_agree_final_l@22,agreement,0.1111,,,,
ll_argmax_agree_final_l@23,agreement,0.0167,,,,-0.0823
ll_argmax_agree_final_l@24,agreement,0.0118,,,,-0.0470
ll_argmax_agree_final_l@25,agreement,0.0347,,0.0172,,-0.0848
ll_argmax_agree_final_l@26,agreement,-0.0477,,,,-0.0898
ll_argmax_agree_final_l@27,agreement,-0.0448,,-0.0410,,-0.1433
ll_argmax_agree_final_l@28,agreement,-0.0343,,-0.0597,,-0.1564
