method,dataset,config,relation,n,no_ctx,compressed,fallback_full,best,cost_comp,cost_full
cartridge,hotpot_qa,s1500_lr0.0001_K128,overall,384,0.172,0.142,0.233,0.266,176,766
cartridge,hotpot_qa,s1500_lr0.0001_K128,in_task,96,0.118,0.093,0.201,0.223,166,729
cartridge,hotpot_qa,s1500_lr0.0001_K128,cross_task_in_domain,192,0.156,0.155,0.292,0.316,161,612
cartridge,hotpot_qa,s1500_lr0.0001_K128,cross_task_cross_domain,96,0.26,0.167,0.146,0.208,216,1112
cartridge,hotpot_qa,s1500_lr0.0001_K64,overall,384,0.173,0.149,0.232,0.262,112,766
cartridge,hotpot_qa,s1500_lr0.0001_K64,in_task,96,0.118,0.094,0.2,0.226,102,729
cartridge,hotpot_qa,s1500_lr0.0001_K64,cross_task_in_domain,192,0.156,0.157,0.291,0.313,97,612
cartridge,hotpot_qa,s1500_lr0.0001_K64,cross_task_cross_domain,96,0.26,0.188,0.146,0.198,152,1112
cartridge,hotpot_qa,s1500_lr0.0003_K128,overall,384,0.172,0.164,0.233,0.274,176,766
cartridge,hotpot_qa,s1500_lr0.0003_K128,in_task,96,0.118,0.107,0.201,0.224,166,729
cartridge,hotpot_qa,s1500_lr0.0003_K128,cross_task_in_domain,192,0.156,0.156,0.292,0.311,161,612
cartridge,hotpot_qa,s1500_lr0.0003_K128,cross_task_cross_domain,96,0.26,0.24,0.146,0.25,216,1112
cartridge,hotpot_qa,s1500_lr0.0003_K64,overall,384,0.172,0.165,0.233,0.287,112,766
cartridge,hotpot_qa,s1500_lr0.0003_K64,in_task,96,0.118,0.095,0.201,0.227,102,729
cartridge,hotpot_qa,s1500_lr0.0003_K64,cross_task_in_domain,192,0.156,0.137,0.292,0.31,97,612
cartridge,hotpot_qa,s1500_lr0.0003_K64,cross_task_cross_domain,96,0.26,0.292,0.146,0.302,152,1112
cartridge,hotpot_qa,s600_lr0.0001_K128,overall,384,0.172,0.145,0.233,0.271,176,766
cartridge,hotpot_qa,s600_lr0.0001_K128,in_task,96,0.118,0.094,0.201,0.228,166,729
cartridge,hotpot_qa,s600_lr0.0001_K128,cross_task_in_domain,192,0.156,0.155,0.292,0.318,161,612
cartridge,hotpot_qa,s600_lr0.0001_K128,cross_task_cross_domain,96,0.26,0.177,0.146,0.219,216,1112
cartridge,hotpot_qa,s600_lr0.0001_K64,overall,384,0.172,0.158,0.233,0.274,112,766
cartridge,hotpot_qa,s600_lr0.0001_K64,in_task,96,0.118,0.104,0.201,0.226,102,729
cartridge,hotpot_qa,s600_lr0.0001_K64,cross_task_in_domain,192,0.156,0.165,0.292,0.32,97,612
cartridge,hotpot_qa,s600_lr0.0001_K64,cross_task_cross_domain,96,0.26,0.198,0.146,0.229,152,1112
cartridge,hotpot_qa,s600_lr0.0003_K128,overall,384,0.172,0.15,0.233,0.267,176,766
cartridge,hotpot_qa,s600_lr0.0003_K128,in_task,96,0.118,0.106,0.201,0.225,166,729
cartridge,hotpot_qa,s600_lr0.0003_K128,cross_task_in_domain,192,0.156,0.154,0.292,0.313,161,612
cartridge,hotpot_qa,s600_lr0.0003_K128,cross_task_cross_domain,96,0.26,0.188,0.146,0.219,216,1112
cartridge,hotpot_qa,s600_lr0.0003_K64,overall,384,0.172,0.153,0.233,0.268,112,766
cartridge,hotpot_qa,s600_lr0.0003_K64,in_task,96,0.118,0.105,0.201,0.225,102,729
cartridge,hotpot_qa,s600_lr0.0003_K64,cross_task_in_domain,192,0.156,0.154,0.292,0.315,97,612
cartridge,hotpot_qa,s600_lr0.0003_K64,cross_task_cross_domain,96,0.26,0.198,0.146,0.219,152,1112
cartridge,quality,s1500_lr0.0001_K128,overall,384,0.172,0.17,0.233,0.291,176,766
cartridge,quality,s1500_lr0.0001_K128,in_task,96,0.26,0.188,0.146,0.219,216,1112
cartridge,quality,s1500_lr0.0001_K128,cross_task_cross_domain,288,0.143,0.165,0.262,0.315,163,651
cartridge,quality,s1500_lr0.0001_K64,overall,384,0.172,0.159,0.233,0.279,112,766
cartridge,quality,s1500_lr0.0001_K64,in_task,96,0.26,0.198,0.146,0.219,152,1112
cartridge,quality,s1500_lr0.0001_K64,cross_task_cross_domain,288,0.143,0.147,0.262,0.299,99,651
