model,bench,no_ctx,ungated,threshold,learned,oracle,n
qwen3_8b,hotpot_qa,0.1894,0.1295,0.1861,0.1698,0.2350,600
qwen3_8b,musr_mm,0.5133,0.5350,0.5350,0.5350,0.5983,600
qwen3_8b,quality,0.2300,0.2167,0.2283,0.2167,0.2700,600
qwen3_8b,ruler_niah,0.0000,0.0000,0.0000,0.0000,0.0000,600
qwen3_8b,trivia_qa,0.4616,0.2302,0.4435,0.4481,0.4981,600
glm4_9b,hotpot_qa,0.1859,0.1145,0.1849,0.1227,0.2346,600
glm4_9b,musr_mm,0.5100,0.5333,0.5350,0.5333,0.6350,600
glm4_9b,quality,0.2267,0.2317,0.2200,0.2333,0.3000,600
glm4_9b,ruler_niah,0.0000,0.0000,0.0000,0.0000,0.0000,600
glm4_9b,trivia_qa,0.5626,0.2045,0.5451,0.5596,0.5931,600
mistral_7b,hotpot_qa,0.2224,0.0017,0.2115,0.1777,0.2224,300
mistral_7b,musr_mm,0.5067,0.5000,0.4833,0.5067,0.6700,300
mistral_7b,quality,0.2267,0.2233,0.2533,0.2200,0.3733,300
mistral_7b,ruler_niah,0.0000,0.0000,0.0000,0.0000,0.0000,300
mistral_7b,trivia_qa,0.5904,0.0014,0.5637,0.5837,0.5910,300
phi35_mini,hotpot_qa,0.1918,0.0023,0.1723,0.1313,0.1924,300
phi35_mini,musr_mm,0.5033,0.5000,0.4900,0.5000,0.7000,300
phi35_mini,quality,0.1933,0.1800,0.1867,0.1800,0.3200,300
phi35_mini,ruler_niah,0.0000,0.0000,0.0000,0.0000,0.0000,300
phi35_mini,trivia_qa,0.4808,0.0006,0.4565,0.4758,0.4808,300
qwen25_7b,hotpot_qa,0.2290,0.1197,0.2166,0.1736,0.2575,300
qwen25_7b,musr_mm,0.4967,0.5000,0.4800,0.5000,0.5600,300
qwen25_7b,quality,0.2500,0.2200,0.2567,0.2200,0.2967,300
qwen25_7b,ruler_niah,0.0000,0.0000,0.0000,0.0000,0.0000,300
qwen25_7b,trivia_qa,0.3942,0.2611,0.3888,0.3787,0.4675,300
qwen3_14b,hotpot_qa,0.1156,0.1453,0.1417,0.1453,0.1827,300
qwen3_14b,musr_mm,0.4700,0.4933,0.5000,0.4933,0.5900,300
qwen3_14b,quality,0.2367,0.2333,0.2167,0.2333,0.2700,300
qwen3_14b,ruler_niah,0.0000,0.0000,0.0000,0.0000,0.0000,300
qwen3_14b,trivia_qa,0.1172,0.3473,0.3427,0.3473,0.3743,300
qwen35_9b,hotpot_qa,0.2938,0.2122,0.2880,0.2081,0.3351,240
qwen35_9b,musr_mm,0.5458,0.5458,0.5333,0.5458,0.6083,240
qwen35_9b,quality,0.2583,0.2708,0.2708,0.2708,0.2917,240
qwen35_9b,ruler_niah,0.0000,0.0000,0.0000,0.0000,0.0000,240
qwen35_9b,trivia_qa,0.5719,0.3939,0.5668,0.4767,0.6053,240
