cell,bench,no_ctx,memory,full_ctx,trackA_gated,trackA_do_no_harm,trackB_gated,trackB_frac_mem,trackB_tok_pct
gate3_glm_hotpot_qa,hotpot_qa,0.2117,0.2627,0.5840,0.2111,0,0.5840,0.000,100.0
gate3_glm_ms_marco,ms_marco,0.1370,0.1980,0.2667,0.1776,1,0.2547,0.060,95.1
gate3_glm_narrativeqa,narrativeqa,0.1413,0.1170,0.1413,0.1382,0,0.1146,0.527,49.7
gate3_glm_squad_v2,squad_v2,0.1361,0.0753,0.4659,0.1361,1,0.4659,0.000,100.0
gate3_glm_trivia_qa,trivia_qa,0.5679,0.3315,0.6360,0.5679,1,0.5886,0.087,91.4
gate3_q8_hotpot_qa,hotpot_qa,0.2225,0.2364,0.6262,0.2153,0,0.6046,0.027,97.8
gate3_q8_ms_marco,ms_marco,0.2138,0.2347,0.2834,0.2304,1,0.2834,0.000,100.0
gate3_q8_narrativeqa,narrativeqa,0.1415,0.1814,0.1541,0.1793,1,0.1897,0.960,8.3
gate3_q8_squad_v2,squad_v2,0.1723,0.1648,0.6503,0.1679,0,0.6503,0.000,100.0
gate3_q8_trivia_qa,trivia_qa,0.4625,0.5150,0.6088,0.4881,1,0.6040,0.667,37.9
gate3mb_glm_gist_hotpot_qa,hotpot_qa,0.1955,0.1168,0.5598,0.1928,0,0.5598,0.000,100.0
gate3mb_glm_gist_ms_marco,ms_marco,0.1377,0.2063,0.2619,0.2016,1,0.2527,0.040,96.7
gate3mb_glm_gist_narrativeqa,narrativeqa,0.1424,0.1441,0.1449,0.1493,1,0.1357,0.813,22.3
gate3mb_glm_gist_squad_v2,squad_v2,0.1233,0.1032,0.4551,0.1144,0,0.4553,0.007,99.0
gate3mb_glm_gist_trivia_qa,trivia_qa,0.4578,0.2580,0.4964,0.4578,1,0.4848,0.047,95.5
gate3mb_glm_prefix_hotpot_qa,hotpot_qa,0.1955,0.1788,0.5598,0.1846,0,0.5598,0.000,100.0
gate3mb_glm_prefix_ms_marco,ms_marco,0.1377,0.2003,0.2619,0.2003,1,0.2576,0.073,94.3
gate3mb_glm_prefix_narrativeqa,narrativeqa,0.1424,0.1599,0.1449,0.1448,1,0.1510,0.947,9.6
gate3mb_glm_prefix_squad_v2,squad_v2,0.1233,0.1213,0.4551,0.1107,0,0.4551,0.000,100.0
gate3mb_glm_prefix_trivia_qa,trivia_qa,0.4578,0.2693,0.4964,0.4578,1,0.4844,0.040,96.2
gate3mb_q8_gist_hotpot_qa,hotpot_qa,0.1136,0.1284,0.2556,0.1090,0,0.2556,0.000,100.0
gate3mb_q8_gist_ms_marco,ms_marco,0.1995,0.2050,0.2741,0.2060,1,0.2710,0.020,98.4
gate3mb_q8_gist_narrativeqa,narrativeqa,0.1094,0.1038,0.1200,0.0911,0,0.1166,0.273,73.9
gate3mb_q8_gist_squad_v2,squad_v2,0.1292,0.1172,0.3437,0.1240,0,0.3437,0.000,100.0
gate3mb_q8_gist_trivia_qa,trivia_qa,0.1686,0.1706,0.2263,0.1672,0,0.2283,0.053,94.6
gate3mb_q8_prefix_hotpot_qa,hotpot_qa,0.1136,0.2494,0.2556,0.2314,1,0.3077,0.507,54.9
gate3mb_q8_prefix_ms_marco,ms_marco,0.1995,0.1903,0.2741,0.1922,0,0.2741,0.000,100.0
gate3mb_q8_prefix_narrativeqa,narrativeqa,0.1094,0.1109,0.1200,0.1012,0,0.1043,0.700,33.2
gate3mb_q8_prefix_squad_v2,squad_v2,0.1292,0.1488,0.3437,0.1430,1,0.3417,0.007,99.8
gate3mb_q8_prefix_trivia_qa,trivia_qa,0.1686,0.4327,0.2263,0.4260,1,0.4261,0.967,8.5
