signal,angle,hotpot_qa,musr_mm,quality,ruler_niah,trivia_qa
conf_0,confidence,0.4032,0.4675,0.5355,,0.4818
conf_w,confidence,0.4927,0.4665,0.5528,,0.5586
delta_last,geometry,0.5469,0.4851,0.5083,,0.5375
delta_max,geometry,0.5652,0.4859,0.5319,,0.5610
delta_mean,geometry,0.5525,0.4827,0.5194,,0.5440
delta_trend,geometry,0.5264,0.4715,0.5459,,0.5204
drift_l::early,geometry,0.4783,0.5576,0.4899,,0.5053
drift_l::late,geometry,0.4130,0.5065,0.4050,,0.3641
drift_l::max,geometry,0.4547,0.4741,0.4207,,0.4142
drift_l::mean,geometry,0.4240,0.5273,0.4173,,0.4027
drift_l::mid,geometry,0.3991,0.5259,0.4252,,0.3874
drift_l::min,geometry,0.5000,0.5000,0.5000,,0.5000
drift_l::slope,geometry,0.4540,0.4487,0.4454,,0.3900
drift_l@0,geometry,0.5000,0.5000,0.5000,,0.5000
drift_l@1,geometry,0.5557,0.5363,0.5217,,0.5741
drift_l@10,geometry,0.4572,0.5521,0.4487,,0.4769
drift_l@11,geometry,0.4222,0.5478,0.4234,,0.4473
drift_l@12,geometry,0.4142,0.5410,0.4162,,0.4238
drift_l@13,geometry,0.4119,0.5398,0.4163,,0.4139
drift_l@14,geometry,0.4057,0.5390,0.4203,,0.4124
drift_l@15,geometry,0.4087,0.5298,0.4308,,0.4016
drift_l@16,geometry,0.3992,0.5253,0.4374,,0.3913
drift_l@17,geometry,0.4008,0.5247,0.4251,,0.3893
drift_l@18,geometry,0.3970,0.5252,0.4171,,0.3872
drift_l@19,geometry,0.3997,0.5087,0.4194,,0.3872
drift_l@2,geometry,0.5545,0.5265,0.5036,,0.5625
drift_l@20,geometry,0.3925,0.5173,0.4167,,0.3827
drift_l@21,geometry,0.3939,0.5069,0.4366,,0.3779
drift_l@22,geometry,0.3934,0.5096,0.4388,,0.3754
drift_l@23,geometry,0.3945,0.5045,0.4269,,0.3765
drift_l@24,geometry,0.3902,0.5070,0.4311,,0.3756
drift_l@25,geometry,0.3928,0.5084,0.4268,,0.3816
drift_l@26,geometry,0.3964,0.5091,0.4227,,0.3821
drift_l@27,geometry,0.3942,0.5120,0.4227,,0.3769
drift_l@28,geometry,0.3966,0.5140,0.4276,,0.3735
drift_l@29,geometry,0.3999,0.5163,0.4286,,0.3695
drift_l@3,geometry,0.5297,0.5426,0.5162,,0.5545
drift_l@30,geometry,0.4032,0.5196,0.4244,,0.3688
drift_l@31,geometry,0.4165,0.5106,0.4234,,0.3671
drift_l@32,geometry,0.4270,0.5084,0.4177,,0.3672
drift_l@33,geometry,0.4354,0.5102,0.4064,,0.3659
drift_l@34,geometry,0.4458,0.5127,0.3962,,0.3747
drift_l@35,geometry,0.4659,0.4792,0.3855,,0.3830
drift_l@36,geometry,0.4592,0.4636,0.4286,,0.3914
drift_l@4,geometry,0.5249,0.5384,0.5256,,0.5569
drift_l@5,geometry,0.4960,0.5496,0.5259,,0.5397
drift_l@6,geometry,0.5026,0.5526,0.5264,,0.5378
drift_l@7,geometry,0.5053,0.5573,0.5136,,0.5367
drift_l@8,geometry,0.4732,0.5629,0.4862,,0.5023
drift_l@9,geometry,0.4616,0.5637,0.4752,,0.4871
drift_mem,geometry,0.5510,0.4908,0.5015,,0.5344
entropy_0,confidence,0.6277,0.4784,0.4610,,0.5455
entropy_w,confidence,0.5490,0.5406,0.4548,,0.4380
first_tok_agree,agreement,0.5820,0.4779,0.4836,,0.6528
js_w0,divergence,0.4063,0.4374,0.4283,,0.3317
kl_0w,divergence,0.4340,0.4387,0.4238,,0.3466
kl_w0,divergence,0.3825,0.4446,0.4415,,0.3306
ll_argmax_agree_final_l::early,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l::late,agreement,0.4697,0.5128,0.5716,,0.4553
ll_argmax_agree_final_l::max,agreement,0.4918,0.5089,0.5032,,0.4628
ll_argmax_agree_final_l::mean,agreement,0.4710,0.5128,0.5716,,0.4499
ll_argmax_agree_final_l::mid,agreement,0.4905,0.5000,0.5000,,0.4839
ll_argmax_agree_final_l::min,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l::slope,agreement,0.4697,0.5128,0.5716,,0.4553
ll_argmax_agree_final_l@0,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@1,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@10,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@11,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@12,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@13,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@14,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@15,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@16,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@17,agreement,0.5000,0.5000,0.5000,,0.5000
ll_argmax_agree_final_l@18,agreement,0.5005,0.5000,0.5000,,0.5005
ll_argmax_agree_final_l@19,agreement,0.5000,0.5000,0.5000,,0.4999
ll_argmax_agree_final_l@2,agreement,0.5000,0.5000,0.5000,,0.5000
