held_out_model,feature_set,auroc_useful_transfer
qwen3_8b,delta_last,0.6309
qwen3_8b,geom+span,0.5274
qwen3_8b,all_comparable,0.5677
qwen3_14b,delta_last,0.7207
qwen3_14b,geom+span,0.5708
qwen3_14b,all_comparable,0.7581
qwen35_9b,delta_last,0.6581
qwen35_9b,geom+span,0.6333
qwen35_9b,all_comparable,0.7923
qwen25_7b,delta_last,0.6757
qwen25_7b,geom+span,0.7515
qwen25_7b,all_comparable,0.6186
glm4_9b,delta_last,0.7989
glm4_9b,geom+span,0.5643
glm4_9b,all_comparable,0.6929
phi35_mini,delta_last,0.8206
phi35_mini,geom+span,0.7595
phi35_mini,all_comparable,0.7858
mistral_7b,delta_last,0.6849
mistral_7b,geom+span,0.5972
mistral_7b,all_comparable,0.5568
