signal,angle,auroc_help[qwen3_8b],auroc_help[qwen3_14b],auroc_help[qwen35_9b],auroc_help[qwen25_7b],auroc_help[glm4_9b],auroc_help[phi35_mini],auroc_help[mistral_7b],spear_lift[qwen3_8b],spear_lift[qwen3_14b],spear_lift[qwen35_9b],spear_lift[qwen25_7b],spear_lift[glm4_9b],spear_lift[phi35_mini],spear_lift[mistral_7b],same_direction,strong_all_ge_0.07,mean_|auroc-.5|,min_|auroc-.5|
delta_last,geometry,0.601,0.592,0.587,0.590,0.657,0.803,0.755,-0.215,0.409,-0.093,0.086,0.520,-0.017,-0.304,1,1,0.155,0.087
delta_trend,geometry,0.564,0.606,0.611,0.614,0.587,0.767,0.586,-0.274,0.396,-0.201,0.132,0.216,-0.003,-0.195,1,0,0.119,0.064
delta_mean,geometry,0.525,0.539,0.549,0.554,0.647,0.820,0.740,-0.048,0.485,0.070,-0.063,0.525,-0.051,-0.255,1,0,0.125,0.025
mem_influence_span,causal,0.516,0.696,0.606,0.524,0.569,0.657,0.531,0.109,0.081,-0.191,-0.178,0.105,-0.117,-0.104,1,0,0.086,0.016
slot_norm_mean,geometry,0.515,0.524,0.531,0.556,0.672,0.834,0.743,-0.047,0.502,0.123,-0.095,0.566,-0.064,-0.268,1,0,0.125,0.015
drift_mem,geometry,0.514,0.524,0.531,0.556,0.672,0.834,0.745,-0.047,0.503,0.123,-0.097,0.566,-0.064,-0.273,1,0,0.125,0.014
top5_mass_w,confidence,0.653,0.510,0.627,0.624,0.521,0.662,0.548,-0.278,-0.162,-0.106,0.020,0.126,-0.082,-0.204,1,0,0.092,0.010
slot_norm_max,geometry,0.506,0.528,0.528,0.561,0.672,0.834,0.775,-0.021,0.520,0.127,-0.156,0.576,-0.065,-0.326,1,0,0.129,0.006
conf_w,confidence,0.596,0.506,0.637,0.553,0.510,0.574,0.576,-0.298,-0.276,-0.113,0.046,0.088,0.041,-0.225,1,0,0.065,0.006
ll_entropy_w_l::min,confidence,0.374,0.414,0.381,0.448,0.489,0.310,0.499,0.136,-0.258,0.053,0.112,-0.156,0.100,0.121,1,0,0.084,0.001
ll_argmax_agree_final_l::early,agreement,0.500,0.500,0.500,0.500,0.500,0.500,0.500,,,,,,,,1,0,0.000,0.000
drift_l::min,geometry,0.500,0.500,0.500,0.500,0.500,0.500,0.500,,,,,,,,1,0,0.000,0.000
ll_argmax_agree_final_l::min,agreement,0.500,0.500,0.500,0.500,0.500,0.500,0.500,,,,,,,,1,0,0.000,0.000
entropy_0,confidence,0.433,0.587,0.416,0.326,0.322,0.303,0.410,0.067,-0.054,0.088,-0.089,-0.333,0.219,0.397,0,0,0.125,0.067
drift_l::early,geometry,0.431,0.407,0.441,0.439,0.634,0.632,0.659,0.272,-0.341,0.034,0.110,0.275,0.074,-0.144,0,0,0.101,0.059
ll_margin_w_l::late,confidence,0.623,0.565,0.587,0.645,0.442,0.648,0.436,-0.285,0.252,0.021,-0.083,0.019,-0.069,-0.035,0,0,0.099,0.058
ll_kl_wb_l::late,divergence,0.362,0.450,0.434,0.417,0.573,0.685,0.558,0.128,0.280,-0.090,-0.082,0.084,-0.135,-0.137,0,0,0.093,0.050
conf_0,confidence,0.547,0.415,0.581,0.654,0.628,0.676,0.571,-0.071,0.062,-0.108,0.072,0.124,-0.189,-0.318,0,0,0.106,0.047
q_chunk_spread,geometry,0.424,0.571,0.551,0.456,0.453,0.567,0.363,0.045,-0.023,-0.239,-0.041,-0.003,0.147,0.246,0,0,0.071,0.044
ll_margin_w_l::slope,confidence,0.636,0.558,0.586,0.644,0.415,0.597,0.457,-0.276,0.217,0.023,-0.046,-0.041,-0.150,-0.066,0,0,0.093,0.043
