bench,seed,native_w,native_0,delta,n
quality,42,0.26,0.26,0.0,100
musr_mm,42,0.45,0.49,-0.04,100
ruler_niah,42,0.0,0.0,0.0,100
hotpot_qa,42,0.2993,0.2392,0.0601,100
trivia_qa,42,0.4184,0.4901,-0.0716,100
squad_v2,42,0.1907,0.1742,0.0165,100
narrativeqa,42,0.13,0.1536,-0.0237,100
ms_marco,42,0.2069,0.2109,-0.004,100
quality,7,0.2,0.21,-0.01,100
musr_mm,7,0.53,0.52,0.01,100
ruler_niah,7,0.0,0.0,0.0,100
hotpot_qa,7,0.1062,0.221,-0.1148,100
trivia_qa,7,0.186,0.4694,-0.2834,100
squad_v2,7,0.1114,0.2052,-0.0938,100
narrativeqa,7,0.0746,0.1645,-0.0899,100
ms_marco,7,0.1411,0.2255,-0.0843,100
quality,11,0.22,0.23,-0.01,100
musr_mm,11,0.55,0.55,0.0,100
ruler_niah,11,0.0,0.0,0.0,100
hotpot_qa,11,0.2001,0.2421,-0.042,100
trivia_qa,11,0.3672,0.4632,-0.096,100
squad_v2,11,0.1674,0.1323,0.0352,100
narrativeqa,11,0.1509,0.1286,0.0223,100
ms_marco,11,0.2545,0.2222,0.0324,100
