cell,bench,no_ctx,memory,full_ctx,trackA_gated,trackA_do_no_harm,trackB_gated,trackB_frac_mem,trackB_tok_pct
cfg_hybrid_K128_squad_v2,squad_v2,0.1721,0.1766,0.6616,0.1662,0,0.6616,0.000,100.0
cfg_hybrid_K128_trivia_qa,trivia_qa,0.4592,0.5126,0.6018,0.4825,1,0.5696,0.713,36.2
cfg_hybrid_K16_squad_v2,squad_v2,0.1721,0.1924,0.6616,0.1671,0,0.6616,0.000,100.0
cfg_hybrid_K16_trivia_qa,trivia_qa,0.4592,0.5199,0.6018,0.4609,1,0.5993,0.693,32.8
cfg_hybrid_K32_squad_v2,squad_v2,0.1721,0.2082,0.6616,0.1603,0,0.6616,0.000,100.0
cfg_hybrid_K32_trivia_qa,trivia_qa,0.4592,0.4804,0.6018,0.4565,0,0.6124,0.600,43.0
cfg_hybrid_K64_squad_v2,squad_v2,0.1721,0.1649,0.6616,0.1689,0,0.6616,0.000,100.0
cfg_hybrid_K64_trivia_qa,trivia_qa,0.4592,0.5512,0.6018,0.4701,1,0.6061,0.807,24.3
cfg_prefix_K128_squad_v2,squad_v2,0.1721,0.1812,0.6616,0.1771,1,0.6616,0.000,100.0
cfg_prefix_K128_trivia_qa,trivia_qa,0.4592,0.4630,0.6018,0.4805,1,0.5927,0.413,62.3
cfg_prefix_K16_squad_v2,squad_v2,0.1721,0.2271,0.6616,0.2002,1,0.6616,0.000,100.0
cfg_prefix_K16_trivia_qa,trivia_qa,0.4592,0.5193,0.6018,0.4588,0,0.6036,0.740,28.6
cfg_prefix_K32_squad_v2,squad_v2,0.1721,0.2558,0.6616,0.2389,1,0.6616,0.000,100.0
cfg_prefix_K32_trivia_qa,trivia_qa,0.4592,0.5267,0.6018,0.4584,0,0.6054,0.693,33.4
cfg_prefix_K64_squad_v2,squad_v2,0.1721,0.1996,0.6616,0.1703,0,0.6616,0.000,100.0
cfg_prefix_K64_trivia_qa,trivia_qa,0.4592,0.4184,0.6018,0.4577,0,0.6018,0.000,100.0
cfg_residual_K128_squad_v2,squad_v2,0.1721,0.1599,0.6616,0.1721,1,0.6616,0.000,100.0
cfg_residual_K128_trivia_qa,trivia_qa,0.4592,0.5382,0.6018,0.4688,1,0.6336,0.707,30.8
cfg_residual_K16_squad_v2,squad_v2,0.1721,0.1824,0.6616,0.1757,1,0.6616,0.000,100.0
cfg_residual_K16_trivia_qa,trivia_qa,0.4592,0.5296,0.6018,0.4593,1,0.6126,0.760,25.8
cfg_residual_K32_squad_v2,squad_v2,0.1721,0.1443,0.6616,0.1721,1,0.6616,0.000,100.0
cfg_residual_K32_trivia_qa,trivia_qa,0.4592,0.5182,0.6018,0.4825,1,0.6143,0.673,34.9
cfg_residual_K64_squad_v2,squad_v2,0.1721,0.1701,0.6616,0.1693,0,0.6616,0.000,100.0
cfg_residual_K64_trivia_qa,trivia_qa,0.4592,0.5209,0.6018,0.4675,1,0.6125,0.687,32.9
cfg_xattn_K128_squad_v2,squad_v2,0.1721,0.1661,0.6616,0.1826,1,0.6616,0.000,100.0
cfg_xattn_K128_trivia_qa,trivia_qa,0.4592,0.4802,0.6018,0.4592,1,0.5963,0.440,59.9
cfg_xattn_K16_squad_v2,squad_v2,0.1721,0.1787,0.6616,0.1723,1,0.6616,0.000,100.0
cfg_xattn_K16_trivia_qa,trivia_qa,0.4592,0.5288,0.6018,0.4800,1,0.5868,0.760,27.2
cfg_xattn_K32_squad_v2,squad_v2,0.1721,0.1663,0.6616,0.1663,0,0.6616,0.000,100.0
cfg_xattn_K32_trivia_qa,trivia_qa,0.4592,0.4186,0.6018,0.4644,1,0.5956,0.167,84.6
cfg_xattn_K64_h16_trivia_qa,trivia_qa,0.4592,0.5142,0.6018,0.4992,1,0.5763,0.613,41.2
cfg_xattn_K64_h4_trivia_qa,trivia_qa,0.4592,0.5309,0.6018,0.4914,1,0.6043,0.727,31.8
cfg_xattn_K64_squad_v2,squad_v2,0.1721,0.1440,0.6616,0.1663,0,0.6616,0.000,100.0
cfg_xattn_K64_trivia_qa,trivia_qa,0.4592,0.4199,0.6018,0.4614,1,0.5868,0.160,85.0
cfg_xattn_K64_ts3600_trivia_qa,trivia_qa,0.4592,0.4176,0.6018,0.4549,0,0.5606,0.247,76.7
