model,bench,n_seeds,native_0,native_w,delta,std_w
qwen3_14b,trivia_qa,6,0.128,0.403,0.275,0.048
qwen3_14b,squad_v2,6,0.045,0.126,0.081,0.054
qwen3_14b,hotpot_qa,6,0.124,0.214,0.090,0.045
qwen3_14b,narrativeqa,6,0.067,0.087,0.020,0.019
qwen3_14b,ms_marco,6,0.140,0.192,0.052,0.021
qwen3_14b,musr_mm,6,0.500,0.517,0.017,0.020
qwen3_14b,quality,6,0.222,0.233,0.011,0.022
qwen3_14b,ruler_niah,6,0.000,0.000,0.000,0.000
glm4_9b,trivia_qa,6,0.576,0.527,-0.049,0.096
glm4_9b,squad_v2,6,0.143,0.196,0.053,0.039
glm4_9b,hotpot_qa,6,0.195,0.250,0.055,0.040
glm4_9b,narrativeqa,6,0.137,0.168,0.030,0.015
glm4_9b,ms_marco,6,0.144,0.196,0.052,0.008
glm4_9b,musr_mm,6,0.504,0.533,0.029,0.020
glm4_9b,quality,6,0.219,0.224,0.006,0.018
glm4_9b,ruler_niah,6,0.000,0.000,0.000,0.000
qwen3_8b,trivia_qa,5,0.468,0.505,0.037,0.072
qwen3_8b,squad_v2,2,0.164,0.231,0.067,0.043
qwen3_8b,hotpot_qa,2,0.160,0.161,0.001,0.060
qwen3_8b,narrativeqa,2,0.141,0.162,0.021,0.002
qwen3_8b,ms_marco,2,0.229,0.237,0.008,0.002
qwen3_8b,musr_mm,5,0.513,0.535,0.021,0.027
qwen3_8b,quality,5,0.229,0.197,-0.032,0.018
qwen3_8b,ruler_niah,5,0.000,0.000,0.000,0.000
qwen25_7b,trivia_qa,6,0.506,0.473,-0.033,0.104
qwen25_7b,squad_v2,6,0.192,0.190,-0.001,0.040
qwen25_7b,hotpot_qa,6,0.239,0.220,-0.019,0.057
qwen25_7b,narrativeqa,6,0.121,0.169,0.048,0.008
qwen25_7b,ms_marco,6,0.160,0.215,0.054,0.029
qwen25_7b,musr_mm,5,0.511,0.515,0.004,0.018
qwen25_7b,quality,5,0.207,0.215,0.008,0.024
qwen25_7b,ruler_niah,5,0.000,0.000,0.000,0.000
phi35_mini,trivia_qa,6,0.000,0.000,0.000,0.000
phi35_mini,squad_v2,6,0.000,0.001,0.001,0.001
phi35_mini,hotpot_qa,6,0.000,0.001,0.001,0.001
phi35_mini,narrativeqa,6,0.000,0.008,0.008,0.005
phi35_mini,ms_marco,6,0.000,0.017,0.017,0.008
phi35_mini,musr_mm,5,0.499,0.493,-0.005,0.028
phi35_mini,quality,5,0.252,0.247,-0.005,0.055
phi35_mini,ruler_niah,5,0.000,0.000,0.000,0.000
mistral_7b,trivia_qa,6,0.635,0.147,-0.488,0.172
mistral_7b,squad_v2,6,0.092,0.030,-0.062,0.026
mistral_7b,hotpot_qa,6,0.239,0.080,-0.159,0.066
mistral_7b,narrativeqa,6,0.136,0.054,-0.082,0.046
mistral_7b,ms_marco,6,0.209,0.070,-0.139,0.057
mistral_7b,musr_mm,5,0.511,0.499,-0.012,0.023
mistral_7b,quality,5,0.220,0.241,0.021,0.042
mistral_7b,ruler_niah,5,0.000,0.000,0.000,0.000
