signal,angle,granularity,bench,auroc_correct,auroc_noharm,spearman_cont
drift_l@4,geometry,per_layer,hotpot_qa,0.6094,0.5249,0.0235
ll_entropy_w_l@29,confidence,per_layer,hotpot_qa,0.4630,0.5791,-0.0671
ll_argmax_agree_final_l@32,agreement,per_layer,hotpot_qa,0.5231,0.4760,0.0852
ll_conf_w_l@4,confidence,per_layer,hotpot_qa,0.5107,0.4846,0.0419
ll_argmax_agree_final_l@22,agreement,per_layer,hotpot_qa,0.5017,0.4936,0.1111
drift_l@6,geometry,per_layer,hotpot_qa,0.6004,0.5026,0.0176
ll_margin_w_l@15,confidence,per_layer,hotpot_qa,0.4607,0.5077,-0.0177
ll_argmax_agree_final_l@9,agreement,per_layer,hotpot_qa,0.5000,0.5000,
ll_argmax_agree_final_l@35,agreement,per_layer,hotpot_qa,0.5399,0.4924,0.0433
ll_kl_wb_l@15,divergence,per_layer,hotpot_qa,0.4617,0.4193,-0.0470
ll_kl_wb_l::max,divergence,derived,hotpot_qa,0.4188,0.4186,-0.0655
ll_entropy_w_l@15,confidence,per_layer,hotpot_qa,0.4935,0.4834,0.0179
drift_l@27,geometry,per_layer,hotpot_qa,0.3914,0.3942,-0.0940
ll_entropy_w_l@16,confidence,per_layer,hotpot_qa,0.3997,0.4196,-0.0418
ll_entropy_w_l@14,confidence,per_layer,hotpot_qa,0.4503,0.5284,-0.0368
ll_margin_w_l@20,confidence,per_layer,hotpot_qa,0.4896,0.4291,0.0063
ll_conf_w_l@10,confidence,per_layer,hotpot_qa,0.5852,0.5413,0.0335
ll_kl_wb_l@0,divergence,per_layer,hotpot_qa,0.5000,0.5000,
ll_conf_w_l::slope,confidence,derived,hotpot_qa,0.6095,0.4190,0.1650
ll_conf_w_l@22,confidence,per_layer,hotpot_qa,0.5266,0.4199,0.1160
ll_conf_w_l@30,confidence,per_layer,hotpot_qa,0.5167,0.4667,0.0098
ll_margin_w_l@0,confidence,per_layer,hotpot_qa,0.5000,0.5000,
ll_margin_w_l@6,confidence,per_layer,hotpot_qa,0.4766,0.4700,0.0160
ll_entropy_w_l::late,confidence,derived,hotpot_qa,0.3754,0.5886,-0.1932
drift_l@7,geometry,per_layer,hotpot_qa,0.6017,0.5053,0.0234
slot_norm_max,geometry,scalar,hotpot_qa,0.5229,0.5492,-0.0329
ll_entropy_w_l@6,confidence,per_layer,hotpot_qa,0.5305,0.4748,0.0176
ll_argmax_agree_final_l@16,agreement,per_layer,hotpot_qa,0.5000,0.5000,
ll_conf_w_l@12,confidence,per_layer,hotpot_qa,0.4867,0.4425,0.0116
ll_margin_w_l@17,confidence,per_layer,hotpot_qa,0.5131,0.5065,0.0428
ll_entropy_w_l@1,confidence,per_layer,hotpot_qa,0.4416,0.5066,-0.0089
drift_l@1,geometry,per_layer,hotpot_qa,0.6117,0.5557,0.0151
kl_w0,divergence,scalar,hotpot_qa,0.3348,0.3825,-0.1450
drift_l@28,geometry,per_layer,hotpot_qa,0.3859,0.3966,-0.0993
ll_margin_w_l@10,confidence,per_layer,hotpot_qa,0.5497,0.5503,0.0043
