feature_set,scope,auroc_useful,auroc_help,auroc_noharm
delta_last,POOLED,0.5525,0.6398,0.3061
delta_last,qwen3_8b,0.5286,0.5377,0.2787
delta_last,qwen3_14b,0.7007,0.5053,0.5345
delta_last,qwen35_9b,0.6152,0.5451,0.5080
delta_last,qwen25_7b,0.6433,0.4260,0.3347
delta_last,glm4_9b,0.7424,0.5975,0.2905
delta_last,phi35_mini,0.7878,0.7540,0.2779
delta_last,mistral_7b,0.6279,0.6957,0.5215
geometry6,POOLED,0.5761,0.6332,0.2424
geometry6,qwen3_8b,0.6995,0.4240,0.2996
geometry6,qwen3_14b,0.6405,0.4690,0.4797
geometry6,qwen35_9b,0.6938,0.5451,0.4138
geometry6,qwen25_7b,0.6380,0.4575,0.3756
geometry6,glm4_9b,0.8718,0.5944,0.4916
geometry6,phi35_mini,0.8036,0.7499,0.4208
geometry6,mistral_7b,0.6030,0.6926,0.5192
geom+span,POOLED,0.5690,0.6205,0.3482
geom+span,qwen3_8b,0.6911,0.4017,0.4495
geom+span,qwen3_14b,0.6328,0.4924,0.4909
geom+span,qwen35_9b,0.6920,0.5891,0.4122
geom+span,qwen25_7b,0.6421,0.4321,0.5061
geom+span,glm4_9b,0.8699,0.5874,0.5364
geom+span,phi35_mini,0.7977,0.7571,0.4162
geom+span,mistral_7b,0.5979,0.6894,0.4766
geom+span+conf,POOLED,0.6243,0.6232,0.3629
geom+span+conf,qwen3_8b,0.7347,0.5674,0.4748
geom+span+conf,qwen3_14b,0.7093,0.4525,0.5772
geom+span+conf,qwen35_9b,0.7577,0.5740,0.4119
geom+span+conf,qwen25_7b,0.6782,0.5005,0.4618
geom+span+conf,glm4_9b,0.8831,0.5993,0.5742
geom+span+conf,phi35_mini,0.7524,0.7268,0.4111
geom+span+conf,mistral_7b,0.6086,0.6838,0.4203
all_comparable,POOLED,0.6841,0.5624,0.3299
all_comparable,qwen3_8b,0.7225,0.5577,0.6009
all_comparable,qwen3_14b,0.6317,0.5150,0.4402
all_comparable,qwen35_9b,0.6845,0.4350,0.5771
all_comparable,qwen25_7b,0.6625,0.4413,0.4897
all_comparable,glm4_9b,0.8840,0.5550,0.5897
all_comparable,phi35_mini,0.7941,0.6533,0.5340
all_comparable,mistral_7b,0.6600,0.6318,0.6334
