model,bench,regime,no_ctx,ungated,gated_cv,gated_lomo,use_frac,tau
qwen3_8b,hotpot_qa,B,0.1894,0.1295,0.1894,0.1894,0.000,0.7
qwen3_8b,musr_mm,A,0.5133,0.5350,0.5133,0.5133,0.000,0.7
qwen3_8b,quality,A,0.2300,0.2167,0.2300,0.2300,0.000,0.7
qwen3_8b,ruler_niah,C,0.0000,0.0000,0.0000,0.0000,0.000,0.7
qwen3_8b,trivia_qa,B,0.4616,0.2302,0.4594,0.4616,0.053,0.7
glm4_9b,hotpot_qa,B,0.1859,0.1145,0.1859,0.1859,0.000,0.7
glm4_9b,musr_mm,A,0.5100,0.5333,0.5150,0.5100,0.043,0.7
glm4_9b,quality,A,0.2267,0.2317,0.2267,0.2267,0.000,0.7
glm4_9b,ruler_niah,C,0.0000,0.0000,0.0000,0.0000,0.000,0.7
glm4_9b,trivia_qa,B,0.5626,0.2045,0.5609,0.5626,0.002,0.7
qwen35_9b,hotpot_qa,B,0.2938,0.2122,0.2938,0.2938,0.000,0.7
qwen35_9b,musr_mm,A,0.5458,0.5458,0.5417,0.5458,0.021,0.7
qwen35_9b,quality,A,0.2583,0.2708,0.2583,0.2583,0.000,0.7
qwen35_9b,ruler_niah,C,0.0000,0.0000,0.0000,0.0000,0.000,0.7
qwen35_9b,trivia_qa,B,0.5719,0.3939,0.5698,0.5719,0.017,0.7
qwen25_7b,hotpot_qa,B,0.2290,0.1197,0.2290,0.2290,0.000,0.7
qwen25_7b,musr_mm,A,0.4967,0.5000,0.4900,0.4967,0.047,0.7
qwen25_7b,quality,A,0.2500,0.2200,0.2500,0.2500,0.000,0.7
qwen25_7b,ruler_niah,C,0.0000,0.0000,0.0000,0.0000,0.000,0.7
qwen25_7b,trivia_qa,B,0.3942,0.2611,0.3927,0.3942,0.023,0.7
qwen3_14b,hotpot_qa,B,0.1156,0.1453,0.1190,0.1281,0.310,0.3
qwen3_14b,musr_mm,A,0.4700,0.4933,0.4467,0.4967,0.790,0.3
qwen3_14b,quality,A,0.2367,0.2333,0.2433,0.2333,0.313,0.3
qwen3_14b,ruler_niah,C,0.0000,0.0000,0.0000,0.0000,0.400,0.3
qwen3_14b,trivia_qa,B,0.1172,0.3473,0.2902,0.3204,0.630,0.3
phi35_mini,hotpot_qa,B,0.1918,0.0023,0.1884,0.1918,0.003,0.7
phi35_mini,musr_mm,A,0.5033,0.5000,0.4767,0.5033,0.083,0.7
phi35_mini,quality,A,0.1933,0.1800,0.1933,0.1967,0.000,0.7
phi35_mini,ruler_niah,C,0.0000,0.0000,0.0000,0.0000,0.000,0.7
phi35_mini,trivia_qa,B,0.4808,0.0006,0.4808,0.4574,0.000,0.7
mistral_7b,hotpot_qa,B,0.2224,0.0017,0.2224,0.2224,0.000,0.7
mistral_7b,musr_mm,A,0.5067,0.5000,0.4700,0.5067,0.253,0.7
mistral_7b,quality,A,0.2267,0.2233,0.2267,0.2267,0.000,0.7
mistral_7b,ruler_niah,C,0.0000,0.0000,0.0000,0.0000,0.000,0.7
mistral_7b,trivia_qa,B,0.5904,0.0014,0.5904,0.5871,0.003,0.7
